District,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Dropped Out #,Dropped Out % of cohort
1,2014,4 year August,957,631,65.9,597,62.4,94.6,112,11.7
1,2013,4 year August,1043,639,61.3,608,58.3,95.1,121,11.6
1,2012,4 year August,1069,652,61.0,641,60.0,98.3,148,13.8
2,2014,4 year August,9114,7152,78.5,6706,73.6,93.8,606,6.6
2,2013,4 year August,8685,6630,76.3,6261,72.1,94.4,647,7.4
2,2012,4 year August,8980,6913,77.0,6602,73.5,95.5,601,6.7
3,2014,4 year August,2247,1741,77.5,1624,72.3,93.3,132,5.9
3,2013,4 year August,2309,1808,78.3,1668,72.2,92.3,130,5.6
3,2012,4 year August,2256,1757,77.9,1648,73.0,93.8,138,6.1
4,2014,4 year August,958,811,84.7,761,79.4,93.8,30,3.1
4,2013,4 year August,973,833,85.6,785,80.7,94.2,38,3.9
4,2012,4 year August,928,770,83.0,721,77.7,93.6,48,5.2
5,2014,4 year August,945,639,67.6,590,62.4,92.3,92,9.7
5,2013,4 year August,1000,695,69.5,615,61.5,88.5,59,5.9
5,2012,4 year August,988,658,66.6,604,61.1,91.8,85,8.6
6,2014,4 year August,1300,928,71.4,825,63.5,88.9,112,8.6
6,2013,4 year August,1270,833,65.6,758,59.7,91.0,122,9.6
6,2012,4 year August,1348,887,65.8,811,60.2,91.4,126,9.3
7,2014,4 year August,1848,1134,61.4,1002,54.2,88.4,285,15.4
7,2013,4 year August,1873,1129,60.3,1022,54.6,90.5,253,13.5
7,2012,4 year August,1703,1024,60.1,927,54.4,90.5,260,15.3
8,2014,4 year August,2019,1174,58.1,975,48.3,83.0,278,13.8
8,2013,4 year August,1954,1100,56.3,931,47.6,84.6,280,14.3
8,2012,4 year August,1906,1026,53.8,846,44.4,82.5,300,15.7
9,2014,4 year August,2123,1478,69.6,1281,60.3,86.7,229,10.8
9,2013,4 year August,2143,1502,70.1,1319,61.5,87.8,210,9.8
9,2012,4 year August,2084,1415,67.9,1304,62.6,92.2,240,11.5
10,2014,4 year August,3911,2964,75.8,2690,68.8,90.8,378,9.7
10,2013,4 year August,3858,2829,73.3,2610,67.7,92.3,382,9.9
10,2012,4 year August,4098,2935,71.6,2728,66.6,92.9,483,11.8
11,2014,4 year August,2323,1684,72.5,1470,63.3,87.3,263,11.3
11,2013,4 year August,2298,1625,70.7,1439,62.6,88.6,238,10.4
11,2012,4 year August,2358,1635,69.3,1499,63.6,91.7,245,10.4
12,2014,4 year August,1727,964,55.8,828,47.9,85.9,260,15.1
12,2013,4 year August,1604,917,57.2,784,48.9,85.5,243,15.1
12,2012,4 year August,1689,950,56.2,845,50.0,88.9,229,13.6
13,2014,4 year August,2716,2311,85.1,2224,81.9,96.2,99,3.6
13,2013,4 year August,2719,2330,85.7,2227,81.9,95.6,92,3.4
13,2012,4 year August,2941,2502,85.1,2401,81.6,96.0,115,3.9
14,2014,4 year August,1619,1338,82.6,1173,72.5,87.7,103,6.4
14,2013,4 year August,1607,1289,80.2,1154,71.8,89.5,115,7.2
14,2012,4 year August,1800,1350,75.0,1226,68.1,90.8,163,9.1
15,2014,4 year August,1550,1095,70.6,964,62.2,88.0,110,7.1
15,2013,4 year August,1460,1007,69.0,908,62.2,90.2,105,7.2
15,2012,4 year August,1476,1007,68.2,908,61.5,90.2,124,8.4
16,2014,4 year August,507,327,64.5,264,52.1,80.7,51,10.1
16,2013,4 year August,508,277,54.5,247,48.6,89.2,60,11.8
16,2012,4 year August,500,270,54.0,236,47.2,87.4,69,13.8
17,2014,4 year August,1901,1459,76.7,1305,68.6,89.4,126,6.6
17,2013,4 year August,1856,1368,73.7,1250,67.3,91.4,152,8.2
17,2012,4 year August,2083,1497,71.9,1393,66.9,93.1,146,7.0
18,2014,4 year August,1214,777,64.0,702,57.8,90.3,92,7.6
18,2013,4 year August,1204,790,65.6,718,59.6,90.9,95,7.9
18,2012,4 year August,1208,721,59.7,645,53.4,89.5,92,7.6
19,2014,4 year August,1286,943,73.3,767,59.6,81.3,140,10.9
19,2013,4 year August,1268,846,66.7,703,55.4,83.1,175,13.8
19,2012,4 year August,1241,855,68.9,732,59.0,85.6,129,10.4
20,2014,4 year August,3231,2494,77.2,2334,72.2,93.6,242,7.5
20,2013,4 year August,3155,2358,74.7,2216,70.2,94.0,281,8.9
20,2012,4 year August,2996,2142,71.5,2021,67.5,94.4,277,9.2
21,2014,4 year August,2941,2291,77.9,2137,72.7,93.3,183,6.2
21,2013,4 year August,2698,2021,74.9,1888,70.0,93.4,181,6.7
21,2012,4 year August,2717,2013,74.1,1917,70.6,95.2,178,6.6
22,2014,4 year August,2362,1960,83.0,1869,79.1,95.4,89,3.8
